LON,LAT,CUR,what
-74.333333,4.3333333,  3.7971455e+001,
-74.166667,4.3333333,  3.8150196e+001,
-74.0,4.3333333,  3.8528210e+001,
-73.833333,4.3333333,  3.9375431e+001,
-73.666667,4.3333333,  4.0321369e+001,
-73.5,4.3333333,  4.1144665e+001,
-74.333333,4.1666667,  3.8878651e+001,
-74.166667,4.1666667,  3.8834980e+001,
-74.0,4.1666667,  3.8920029e+001,
-73.833333,4.1666667,  3.9441013e+001,
-73.666667,4.1666667,  3.9954853e+001,
-73.5,4.1666667,  4.0400238e+001,
-74.333333,4.0,  3.9329685e+001,
-74.166667,4.0,  3.8969074e+001,
-74.0,4.0,  3.8787689e+001,
-73.833333,4.0,  3.9068344e+001,
-73.666667,4.0,  3.9110691e+001,
-73.5,4.0,  3.9161774e+001,
-74.333333,3.8333333,  3.8678761e+001,
-74.166667,3.8333333,  3.8237057e+001,
-74.0,3.8333333,  3.7858593e+001,
-73.833333,3.8333333,  3.7846226e+001,
-73.666667,3.8333333,  3.7763889e+001,
-73.5,3.8333333,  3.7594608e+001,
-74.333333,3.6666667,  3.7625103e+001,
-74.166667,3.6666667,  3.7084660e+001,
-74.0,3.6666667,  3.6627209e+001,
-73.833333,3.6666667,  3.6513577e+001,
-73.666667,3.6666667,  3.6373257e+001,
-73.5,3.6666667,  3.6024014e+001,
-74.333333,3.5,  3.6284233e+001,
-74.166667,3.5,  3.5746082e+001,
-74.0,3.5,  3.5474926e+001,
-73.833333,3.5,  3.5502380e+001,
-73.666667,3.5,  3.5484535e+001,
-73.5,3.5,  3.5163387e+001,
